Gender,Size,Height
F,5.5,60
F,6,60
F,7,60
F,8,60
F,8,60
F,9,60
F,7.5,60
F,6.5,60
F,5,60
F,6,61
F,6,61
F,6.5,61
F,7,61
F,7,61
F,7.5,61
F,8.5,61
F,8,61
F,6.5,61
F,7.5,61
F,6,62
F,6,62
F,6,62
F,6,62
F,6.5,62
F,7,62
F,7,62
F,7.5,62
F,7.5,62
F,7.5,62
F,7.5,62
F,8,62
F,7.5,62
F,6,63
F,6,63
F,6,63
F,6,63
F,6.5,63
F,7,63
F,7,63
F,7,63
F,7.5,63
F,7.5,63
F,8,63
F,8.5,63
F,9,63
F,9,63
F,9,63
F,6,63
F,8,63
F,7,63
F,6,64
F,6,64
F,6.5,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7,64
F,7.5,64
F,7.5,64
F,7.5,64
F,7.5,64
F,8,64
F,8,64
F,8,64
F,8,64
F,8,64
F,8,64
F,8,64
F,8,64
F,8.5,64
F,10,64
F,8,64
F,9,64
F,9.5,64
F,6.5,65
F,7,65
F,7,65
F,7.5,65
F,7.5,65
F,7.5,65
F,7.5,65
F,7.5,65
F,7.5,65
F,8,65
F,8,65
F,8,65
F,8,65
F,8.5,65
F,8.5,65
F,8.5,65
F,8.5,65
F,9,65
F,9,65
F,9,65
F,9,65
F,9.5,65
F,9.5,65
F,9.5,65
F,10,65
F,10,65
F,7.5,66
F,7.5,66
F,7.5,66
F,8,66
F,8,66
F,8,66
F,8,66
F,8,66
F,8.5,66
F,9,66
F,9,66
F,9,66
F,9,66
F,9,66
F,9,66
F,9.5,66
F,10,66
F,10,66
F,10,66
F,10,66
F,7,67
F,7,67
F,7.5,67
F,8,67
F,8,67
F,8,67
F,8.5,67
F,8.5,67
F,8.5,67
F,8.5,67
F,9,67
F,9,67
F,9,67
F,9.5,67
F,9.5,67
F,9.5,67
F,9.5,67
F,10,67
F,10,67
F,10,67
F,10,67
F,10,67
F,11,67
F,11,67
F,8,68
F,8,68
F,8,68
F,8.5,68
F,8.5,68
F,8.5,68
F,9,68
F,9.5,68
F,9.5,68
F,9.5,68
F,9.5,68
F,9.5,68
F,10,68
F,10,68
F,10,68
F,10,68
F,10,68
F,10,68
F,10,68
F,8.5,69
F,8.5,69
F,10,69
F,11,69
F,9,70
F,10,70
F,10,70
F,12,70
F,10.5,70
F,8.5,70.5
F,10,71
F,10.5,71
F,12,71
F,8.5,72
F,10,72
F,11,72
F,11,72
F,10,74
F,11,74
M,10.5,63
M,9,63
M,7.5,64
M,8,64
M,10,64
M,10,64
M,8.5,65
M,9,65
M,9.5,65
M,12,65
M,9,66
M,9.5,66
M,9.5,66
M,10.5,66
M,11,66
M,12,66
M,10,66
M,9,66
M,10,67
M,11,67
M,7,67.32
M,8,68
M,9,68
M,9,68
M,9,68
M,9.5,68
M,10,68
M,10,68
M,10,68
M,10,68
M,10,68
M,10.5,68
M,10.5,68
M,11,68
M,11,68
M,11,68
M,11,68
M,10,68
M,9,68
M,9,69
M,9,69
M,9.5,69
M,9.5,69
M,10,69
M,10,69
M,10,69
M,10.5,69
M,10.5,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11,69
M,11.5,69
M,11.5,69
M,11.5,69
M,12,69
M,12,69
M,10.5,69
M,11,69
M,9,70
M,9,70
M,9.5,70
M,9.5,70
M,10,70
M,10,70
M,10,70
M,10,70
M,10,70
M,10,70
M,10,70
M,10.5,70
M,10.5,70
M,10.5,70
M,10.5,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11,70
M,11.5,70
M,12,70
M,12,70
M,10.5,70
M,11,70
M,12,70
M,10.5,71
M,10.5,71
M,10.5,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11,71
M,11.5,71
M,11.5,71
M,11.5,71
M,11.5,71
M,12,71
M,12,71
M,12.5,71
M,11,71
M,11,71
M,10,72
M,10,72
M,10.5,72
M,10.5,72
M,11,72
M,11,72
M,11,72
M,11,72
M,11,72
M,11,72
M,11,72
M,11.5,72
M,11.5,72
M,12,72
M,12,72
M,12,72
M,12,72
M,12,72
M,12,72
M,12,72
M,12.5,72
M,12.5,72
M,13,72
M,13,72
M,11,72
M,11.5,72
M,11.5,72
M,12,72
M,10.5,73
M,10.5,73
M,10.5,73
M,10.5,73
M,11,73
M,11,73
M,11,73
M,11,73
M,11.5,73
M,11.5,73
M,11.5,73
M,12,73
M,12,73
M,12,73
M,12,73
M,12,73
M,12,73
M,13,73
M,13,73
M,13,73
M,13,73
M,13,73
M,14,73
M,11,73
M,12,73
M,12,73
M,9.5,74
M,9.5,74
M,12,74
M,12,74
M,12,74
M,13,74
M,13,74
M,13,74
M,12,74
M,11.5,75
M,12,75
M,12,75
M,12,75
M,12,75
M,12,75
M,12.5,75
M,13,75
M,13,75
M,13,75
M,13.5,75
M,14,75
M,14,75
M,14,75
M,15,75
M,13,75
M,13,75
M,12,75
M,12,76
M,13,76
M,13,76
M,13,76
M,14,76
M,15,76
M,15,76
M,15,76
M,14,77
M,15,77
M,15,77
M,15,77
M,13,78
M,13,78
M,14,78
M,15,80
M,15,81
